bank_transaction_id,bank_operation_date,bank_amount,bank_ref,bank_payment_class,bank_label,customer_transaction_id,customer_accounting_date,customer_amount,customer_total_amount,customer_document_number,customer_external_doc_number,customer_payment_type,customer_description,score
162691,2025-01-29,-26196.409,10475586,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105969,2025-01-29,-26196.409,-52392.818,BVC250000195,10155347391,CLT EFFET,Valider Impayé via escompte,23.75
162692,2025-01-29,-28750.0,10469535,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105969,2025-01-29,-26196.409,-52392.818,BVC250000195,10155347391,CLT EFFET,Valider Impayé via escompte,23.75
162699,2025-01-24,-100000.0,264186,FRS CHQ,REGLEMENT CHEQUE N,105965,2025-01-22,-2770.515,-5541.03,CHP250000115,264189,FRS CHQ,Paiement ChèquesFournisseur,21.25
162700,2025-01-23,-200000.0,264183,FRS CHQ,REGLEMENT CHEQUE N,105965,2025-01-22,-2770.515,-5541.03,CHP250000115,264189,FRS CHQ,Paiement ChèquesFournisseur,22.5
162701,2025-01-22,-2770.515,264189,FRS CHQ,REGLEMENT CHEQUE N,105965,2025-01-22,-2770.515,-5541.03,CHP250000115,264189,FRS CHQ,Paiement ChèquesFournisseur,23.75
162702,2025-01-21,-28750.0,10469531,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105964,2025-01-21,-28750.0,-57500.0,BVC250000204,10155321201,CLT EFFET,Valider Impayé via escompte,23.75
162706,2025-01-20,172129.645,879838,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,105948,2025-01-20,5483.0,344259.29,BEB24000103,10396902611,CLT EFFET,Validation Effet escompté en Banque,23.75
162709,2025-01-16,-3000.0,264184,FRS CHQ,REGLEMENT CHEQUE N,105931,2025-01-16,-3000.0,-6000.0,CHP250000114,264184,FRS CHQ,Paiement ChèquesFournisseur,23.75
162710,2025-01-14,-28750.0,10469525,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105927,2025-01-14,-34375.83,-68751.66,BVC250000072,10155319746,CLT EFFET,Valider Impayé via escompte,23.75
162711,2025-01-14,-14600.0,10477333,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105927,2025-01-14,-34375.83,-68751.66,BVC250000072,10155319746,CLT EFFET,Valider Impayé via escompte,23.75
162716,2025-01-14,-200000.0,264182,FRS CHQ,REGLEMENT CHEQUE N,105931,2025-01-16,-3000.0,-6000.0,CHP250000114,264184,FRS CHQ,Paiement ChèquesFournisseur,21.25
162720,2025-01-13,142211.684,877759,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,105916,2025-01-13,35154.503,284423.368,BEB24000098,10396908916,CLT EFFET,Validation Effet escompté en Banque,23.75
162722,2025-01-10,155256.525,877320,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,105900,2025-01-10,15343.728,310513.05,BEB24000094,10155330028,CLT EFFET,Validation Effet escompté en Banque,23.75
162726,2025-01-08,-12984.0,10475593,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105888,2025-01-08,-26196.409,-52392.818,BVC250000137,10155347003,CLT EFFET,Valider Impayé via escompte,23.75
162689,2025-01-29,-350.0,264185,FRS CHQ,RETRAIT CHEQUE TND,105965,2025-01-22,-2770.515,-5541.03,CHP250000115,264189,FRS CHQ,Paiement ChèquesFournisseur,15.0
162697,2025-01-28,-28750.0,10469529,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105969,2025-01-29,-26196.409,-52392.818,BVC250000195,10155347391,CLT EFFET,Valider Impayé via escompte,22.5
162705,2025-01-20,168255.582,880183,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,105948,2025-01-20,5483.0,344259.29,BEB24000103,10396902611,CLT EFFET,Validation Effet escompté en Banque,23.75
162713,2025-01-14,-34375.83,10469522,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105927,2025-01-14,-34375.83,-68751.66,BVC250000072,10155319746,CLT EFFET,Valider Impayé via escompte,23.75
162725,2025-01-09,165791.763,877050,CLT EFFET,ACCORD ESCOMPTE > ACCORD ESCOMPTE,105890,2025-01-09,25000.0,331583.526,BEB24000089,10155331871,CLT EFFET,Validation Effet escompté en Banque,23.75
162727,2025-01-08,-16500.0,10490556,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105888,2025-01-08,-26196.409,-52392.818,BVC250000137,10155347003,CLT EFFET,Valider Impayé via escompte,23.75
162731,2025-01-08,-26196.409,10475589,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105888,2025-01-08,-26196.409,-52392.818,BVC250000137,10155347003,CLT EFFET,Valider Impayé via escompte,23.75
162737,2025-01-03,-33257.47,10475585,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105882,2025-01-03,-34375.829,-68751.658,BVC250000071,10155319552,CLT EFFET,Valider Impayé via escompte,23.75
162738,2025-01-03,-34375.829,10469519,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105882,2025-01-03,-34375.829,-68751.658,BVC250000071,10155319552,CLT EFFET,Valider Impayé via escompte,23.75
162739,2025-01-03,-15841.149,10486461,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105882,2025-01-03,-34375.829,-68751.658,BVC250000071,10155319552,CLT EFFET,Valider Impayé via escompte,23.75
162744,2025-01-03,-12473.794,10475568,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105882,2025-01-03,-34375.829,-68751.658,BVC250000071,10155319552,CLT EFFET,Valider Impayé via escompte,23.75
162745,2025-01-03,-58709.107,264179,FRS CHQ,REGLEMENT CHEQUE N,105886,2025-01-03,-58709.107,-117418.214,CHP250000113,264179,FRS CHQ,Paiement ChèquesFournisseur,23.75
162751,2025-01-02,-26196.409,10475567,CLT EFFET,EFF IMP DEF NO > IMPAYE DEF EFFET,105880,2025-01-02,-26196.409,-52392.818,BVC250000136,10155347585,CLT EFFET,Valider Impayé via escompte,23.75
